F0varsemi_a;mjitter_a;mshimmer_a;apq_a;ppq_a;mlogE_a;hnr_a;degreeU_a;duration_a;label
2,486991994;12,24569153;5,010747536;6,573502974;3,821366649;14,43417807;13,56991403;3,563459218;6,423729167;1
0,872641014;4,349860823;5,665223164;7,02730033;1,21395976;15,4030022;13,91148256;3,223995509;5,937709751;1
4,054391509;11,90227508;4,463038008;5,690750578;3,169444938;18,80076882;20,53591734;0,562194362;13,20154195;1
0,615361432;5,519034378;6,141614978;6,364884846;1,495004987;16,96401473;11,89686024;5,539000121;5,791020408;1
4,666668178;2,98392374;3,521966084;4,662560176;4,656319912;16,40641538;19,11082902;0,444749884;8,116938776;1
5,931534535;3,174058484;3,479461266;4,49927772;3,155818218;16,81421954;20,1122246;0,250369792;10,6238322;1
0,453270053;2,189450458;5,042732624;5,848243998;1,488295842;19,57705606;15,11467299;0,419682755;8,677414966;1
0,604226832;1,393892894;4,664062114;5,971150053;0,840325429;14,87941079;18,29869834;0,259756741;22,51380952;1
1,030777342;10,14185954;4,439844255;5,687170167;1,231505981;19,74319956;15,49095857;8,068757106;12,24650794;1
0,207529518;7,716474286;3,613158585;5,010841147;0,667192196;22,20300355;13,52994508;4,808637315;8,413197279;1
6,389219221;4,34186079;4,533858435;5,31149088;4,30299187;18,61603749;15,32175792;0,333216752;11,80015873;1
0,597119721;1,585997514;5,842082365;6,6136204;0,858357021;15,79536378;8,899538564;1,149928417;9,376575964;1
0,349096121;1,908877385;3,805727085;4,667906294;0,715843293;20,63697839;18,89268036;0,561405191;13,24024943;1
0,763624657;4,502207221;4,231207999;5,754275147;1,276724188;11,9341982;16,08362709;1,270529464;35,80657596;1
0,620993708;1,318036623;3,609133341;4,219675457;0,791656763;18,94852378;23,73848585;1,173913337;3,359183673;1
